video_id,jahr,datum_text,titel,seiten_url
1937340,2019,30 августа 58 мин Эфир от 30.08.2019 (12:50). По горячим следам,30 августа,https://smotrim.ru/video/1937340
1937082,2019,"29 августа 56 мин Эфир от 29.08.2019 (18:50). Зеленский распустит Раду, если она не вернет Крым",29 августа,https://smotrim.ru/video/1937082
1936930,2019,29 августа 57 мин Эфир от 29.08.2019 (12:50). По горячим следам,29 августа,https://smotrim.ru/video/1936930
1936812,2019,28 августа 57 мин Эфир от 28.08.2019 (18:50). Кирилл Вышинский на свободе,28 августа,https://smotrim.ru/video/1936812
1936506,2019,28 августа 57 мин Эфир от 28.08.2019 (12:50). По горячим следам,28 августа,https://smotrim.ru/video/1936506
1936268,2019,27 августа 57 мин Эфир от 27.08.2019 (18:50). 100 дней без Порошенко,27 августа,https://smotrim.ru/video/1936268
1936058,2019,27 августа 57 мин Эфир от 27.08.2019 (12:50). По горячим следам,27 августа,https://smotrim.ru/video/1936058
1935853,2019,26 августа 58 мин Эфир от 26.08.2019 (18:50). Украинские националисты предложили отделить Россию рво,26 августа,https://smotrim.ru/video/1935853
1935679,2019,26 августа 58 мин Эфир от 26.08.2019 (12:50). По горячим следам,26 августа,https://smotrim.ru/video/1935679
1935095,2019,23 августа 58 мин Эфир от 23.08.2019 (18:50). 80 лет пакту Молотова – Риббентропа,23 августа,https://smotrim.ru/video/1935095
1934964,2019,23 августа 58 мин Эфир от 23.08.2019 (12:50). По горячим следам,23 августа,https://smotrim.ru/video/1934964
1934730,2019,"22 августа 58 мин Эфир от 22.08.2019 (18:50). Зеленский попросил Джонсона не возвращать Россию в G8,",22 августа,https://smotrim.ru/video/1934730
1934550,2019,22 августа 57 мин Эфир от 22.08.2019 (12:50). По горячим следам,22 августа,https://smotrim.ru/video/1934550
1934331,2019,21 августа 57 мин Эфир от 21.08.2019 (18:50). Трамп поддержал идею вернуть Россию в G8,21 августа,https://smotrim.ru/video/1934331
1934180,2019,21 августа 57 мин Эфир от 21.08.2019 (12:50). По горячим следам,21 августа,https://smotrim.ru/video/1934180
1933938,2019,20 августа 58 мин Эфир от 20.08.2019 (18:50). Украина попросила у Колумбии 300 тонн угля,20 августа,https://smotrim.ru/video/1933938
1933791,2019,20 августа 57 мин Эфир от 20.08.2019 (12:50). По горячим следам,20 августа,https://smotrim.ru/video/1933791
1933607,2019,19 августа 59 мин Эфир от 19.08.2019 (18:50). Путин прибыл с рабочим визитом во Францию,19 августа,https://smotrim.ru/video/1933607
1933418,2019,19 августа 57 мин Эфир от 19.08.2019 (12:50). По горячим следам,19 августа,https://smotrim.ru/video/1933418
1932896,2019,16 августа 57 мин Эфир от 16.08.2019 (18:50). Трамп хочет купить самый большой остров в мире,16 августа,https://smotrim.ru/video/1932896
1932734,2019,16 августа 58 мин Эфир от 16.08.2019 (12:50). По горячим следам,16 августа,https://smotrim.ru/video/1932734
1932504,2019,15 августа 57 мин Эфир от 15.08.2019 (18:50). Все пассажиры аэробуса А-321 спаслись благодаря действ,15 августа,https://smotrim.ru/video/1932504
1932339,2019,15 августа 56 мин Эфир от 15.08.2019 (12:50). По горячим следам,15 августа,https://smotrim.ru/video/1932339
1932109,2019,14 августа 58 мин Эфир от 14.08.2019 (18:50). В Верховной раде спорят из-за русского языка,14 августа,https://smotrim.ru/video/1932109
1931956,2019,14 августа 57 мин Эфир от 14.08.2019 (12:50). По горячим следам,14 августа,https://smotrim.ru/video/1931956
1931738,2019,13 августа 58 мин Эфир от 13.08.2019 (18:50). Рабочую неделю могут сократить до 4 дней,13 августа,https://smotrim.ru/video/1931738
1931595,2019,13 августа 58 мин Эфир от 13.08.2019 (12:50). По горячим следам,13 августа,https://smotrim.ru/video/1931595
1931381,2019,12 августа 58 мин Эфир от 12.08.2019 (18:50). На Украине разработали 8 сценариев развития отношений ,12 августа,https://smotrim.ru/video/1931381
1931200,2019,12 августа 58 мин Эфир от 12.08.2019 (12:50). По горячим следам,12 августа,https://smotrim.ru/video/1931200
1930666,2019,9 августа 58 мин Эфир от 09.08.2019 (18:50). Ошибка ложной тревоги,9 августа,https://smotrim.ru/video/1930666
1930485,2019,9 августа 58 мин Эфир от 09.08.2019 (12:50). По горячим следам,9 августа,https://smotrim.ru/video/1930485
